price,area,rooms,floor,total_floors,building_year,elevator,terrace,parking,price_per_m2,building_age,floor_ratio,city_Beograd,municipality_Barajevo,municipality_Grocka,municipality_Mladenovac,municipality_Novi Beograd,municipality_Obrenovac,municipality_Palilula,municipality_Rakovica,municipality_Savski Venac,municipality_Sopot,municipality_Stari Grad,municipality_Surčin,municipality_Voždovac,municipality_Vračar,municipality_Zemun,municipality_Zvezdara,municipality_unknown,municipality_Čukarica
145000.0,57.0,2.0,1.0,3.0,1970.0,0,1,1,2543.8596491228072,56.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
360000.0,72.0,2.0,1.0,5.0,1933.0,0,1,0,5000.0,93.0,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163225.0,65.0,2.0,1.0,5.0,2025.0,1,1,0,2511.153846153846,1.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137000.0,56.0,2.0,2.0,6.0,,1,1,0,2446.4285714285716,,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219000.0,75.0,3.0,,2.0,,0,1,0,2920.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
450000.0,129.0,4.0,2.0,4.0,,1,1,1,3488.3720930232557,,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200178.0,75.0,3.0,7.0,7.0,2027.0,1,1,1,2669.04,,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
505000.0,112.0,3.0,8.0,8.0,2025.0,0,1,1,4508.928571428572,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200000.0,65.0,4.0,,5.0,2026.0,1,1,1,3076.923076923077,0.0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138000.0,55.0,3.0,4.0,,2005.0,0,0,0,2509.090909090909,21.0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109000.0,44.0,2.0,,3.0,2025.0,0,1,1,2477.2727272727275,1.0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138000.0,32.0,1.0,11.0,15.0,,1,1,0,4312.5,,0.7333333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155000.0,55.0,3.0,2.0,4.0,1980.0,0,0,1,2818.181818181818,46.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205000.0,104.0,4.0,4.0,4.0,,0,1,0,1971.1538461538462,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180000.0,40.0,2.0,,5.0,,1,0,1,4500.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
320000.0,86.0,3.0,2.0,3.0,1933.0,0,1,0,3720.9302325581393,93.0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
635000.0,125.0,4.0,3.0,5.0,,1,1,0,5080.0,,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127000.0,36.0,1.0,6.0,6.0,,1,1,0,3527.777777777778,,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250888.0,57.0,2.0,1.0,22.0,,1,1,1,4401.543859649123,,0.045454545454545456,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
415000.0,110.0,3.0,4.0,5.0,,0,1,0,3772.7272727272725,,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
420000.0,123.0,4.0,1.0,3.0,2010.0,0,1,1,3414.6341463414633,16.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320000.0,86.0,3.0,2.0,3.0,,0,0,0,3720.9302325581393,,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101000.0,37.0,1.0,5.0,5.0,,0,1,0,2729.7297297297296,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
334000.0,78.0,3.0,4.0,7.0,,1,1,0,4282.051282051282,,0.5714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207000.0,55.0,2.0,2.0,12.0,1970.0,1,1,0,3763.6363636363635,56.0,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
520000.0,128.0,4.0,1.0,6.0,1995.0,1,1,1,4062.5,31.0,0.16666666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186000.0,102.0,4.0,1.0,,,0,1,1,1823.5294117647059,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
450000.0,88.0,4.0,2.0,5.0,,1,1,1,5113.636363636364,,0.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195000.0,71.0,3.0,1.0,6.0,,1,1,1,2746.478873239437,,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
500000.0,88.0,3.0,22.0,24.0,,1,1,0,5681.818181818182,,0.9166666666666666,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
286000.0,53.0,2.0,7.0,10.0,,1,1,1,5396.226415094339,,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136000.0,46.0,2.0,,3.0,,0,1,1,2956.521739130435,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195870.0,65.0,3.0,1.0,6.0,2025.0,1,1,0,3013.3846153846152,1.0,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219000.0,119.0,5.0,7.0,8.0,2005.0,1,1,0,1840.3361344537816,21.0,0.875,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125000.0,31.0,1.0,0.0,4.0,,0,0,0,4032.2580645161293,,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170000.0,50.0,2.0,4.0,,,1,1,1,3400.0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
594000.0,142.0,3.0,,13.0,,0,1,0,4183.098591549296,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83000.0,46.0,2.0,1.0,2.0,2025.0,0,0,0,1804.3478260869565,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
604999.0,137.0,4.0,6.0,7.0,2025.0,1,1,1,4416.051094890511,1.0,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190000.0,81.0,3.0,5.0,10.0,1980.0,1,1,1,2345.679012345679,46.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
364000.0,91.0,4.0,6.0,7.0,2019.0,1,1,1,4000.0,7.0,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
510000.0,107.0,4.0,1.0,2.0,1940.0,0,1,1,4766.355140186916,86.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
510000.0,93.0,3.0,1.0,5.0,2017.0,1,0,1,5483.870967741936,9.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199000.0,113.0,3.0,3.0,3.0,,0,1,1,1761.0619469026549,,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
365000.0,83.0,3.0,15.0,23.0,2019.0,1,1,1,4397.590361445783,7.0,0.6521739130434783,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199000.0,45.0,2.0,5.0,4.0,,1,1,0,4422.222222222223,,1.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272000.0,91.0,3.0,7.0,11.0,,1,1,1,2989.010989010989,,0.6363636363636364,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212000.0,47.0,2.0,2.0,6.0,,1,0,0,4510.63829787234,,0.3333333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180000.0,45.0,2.0,4.0,8.0,2025.0,1,1,1,4000.0,1.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
436500.0,97.0,4.0,3.0,3.0,,0,0,0,4500.0,,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
505400.0,133.0,4.0,3.0,5.0,2025.0,0,1,1,3800.0,1.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
349900.0,82.0,3.0,2.0,4.0,,1,1,0,4267.073170731707,,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190000.0,78.0,2.0,3.0,4.0,2018.0,0,1,1,2435.897435897436,8.0,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150000.0,60.0,3.0,2.0,3.0,,0,1,1,2500.0,,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110000.0,42.0,2.0,-1.0,3.0,2006.0,0,0,0,2619.0476190476193,20.0,-0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
280000.0,54.0,2.0,7.0,9.0,2026.0,1,1,1,5185.185185185185,0.0,0.7777777777777778,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210000.0,79.0,3.0,2.0,2.0,,0,1,1,2658.227848101266,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
272888.0,61.0,2.0,5.0,25.0,,1,1,1,4473.573770491803,,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125000.0,55.0,3.0,5.0,5.0,2001.0,0,1,0,2272.7272727272725,25.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105000.0,58.0,2.0,,4.0,,0,0,0,1810.344827586207,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
475200.0,132.0,4.0,,2.0,2026.0,1,1,1,3600.0,0.0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
