model,mae,rmse,r2
GradientBoostingRegressor,41418.68152185984,60033.653030829155,0.7763433362103098
LinearRegression,44349.403340559315,60466.74519666721,0.7731047078790866
RandomForestRegressor,42542.04341534977,62419.14600063425,0.7582157842614825
